日期,时点,甘肃_实时市场出清总电量（MWh）
2026-01-06,10:00,9598.55
2026-01-06,10:15,9579.89
2026-01-06,10:30,9626.25
2026-01-06,10:45,9604.59
2026-01-06,11:00,9548.75
2026-01-06,11:15,9469.29
2026-01-06,11:30,9390.38
2026-01-06,11:45,9303.62
2026-01-06,12:00,9265.31
2026-01-06,12:15,9149.48
2026-01-06,12:30,8967.61
2026-01-06,12:45,8658.89
2026-01-06,13:00,8604
2026-01-06,13:15,8748.60
2026-01-06,13:30,8611.21
2026-01-06,13:45,8596.90
2026-01-06,14:00,8748.12
2026-01-06,14:15,8604.21
2026-01-06,14:30,8588.46
2026-01-06,14:45,8571.94
2026-01-06,15:00,8889.39
2026-01-06,15:15,8870.49
2026-01-06,15:30,8870.22
2026-01-06,15:45,8853.46
2026-01-06,16:00,8830.77
2026-01-06,16:15,9511.91
2026-01-06,16:30,9702.74
2026-01-06,16:45,9749.58
2026-01-06,17:00,9861.47
2026-01-06,17:15,9675.61
2026-01-06,17:30,9575.95
2026-01-06,17:45,9798.60
2026-01-06,18:00,9535.50
2026-01-06,18:15,9706.68
2026-01-06,18:30,9769.49
2026-01-06,18:45,9587.60
2026-01-06,19:00,9569.16
2026-01-06,19:15,9493.43
2026-01-06,19:30,9475.76
2026-01-06,19:45,9398.23
2026-01-06,20:00,9401.34
2026-01-06,20:15,9428.55
2026-01-06,20:30,9404.80
2026-01-06,20:45,9367
2026-01-06,21:00,9274.49
2026-01-06,21:15,9208.02
2026-01-06,21:30,9054.06
2026-01-06,21:45,9101.93
2026-01-06,22:00,8954.71
2026-01-06,22:15,9206.09
2026-01-06,22:30,9105
2026-01-06,22:45,8977.94
2026-01-06,23:00,8868.28
2026-01-06,23:15,8835.34
2026-01-06,23:30,8804.11
2026-01-06,23:45,8730.63
2026-01-06,24:00,8455.77
2026-01-07,00:15,8524.06
2026-01-07,00:30,8470.38
2026-01-07,00:45,8477.28
2026-01-07,01:00,8443.31
2026-01-07,01:15,8460.91
2026-01-07,01:30,8459.62
2026-01-07,01:45,8426.60
2026-01-07,02:00,8484.16
2026-01-07,02:15,8453.08
2026-01-07,02:30,8390.75
2026-01-07,02:45,8336.56
2026-01-07,03:00,8250.22
2026-01-07,03:15,8371.53
2026-01-07,03:30,8340.29
2026-01-07,03:45,8318.62
2026-01-07,04:00,8365.81
2026-01-07,04:15,8515.45
2026-01-07,04:30,8474.18
2026-01-07,04:45,8470.09
2026-01-07,05:00,8476.56
2026-01-07,05:15,8504.33
2026-01-07,05:30,8608.08
2026-01-07,05:45,8573.79
2026-01-07,06:00,8686.31
