日期,时点,甘肃_日前市场出清总电量（MWh）
2026-01-08,18:30,9056.37
2026-01-08,18:45,9039.76
2026-01-08,19:00,9036.19
2026-01-08,19:15,9106.11
2026-01-08,19:30,9084.73
2026-01-08,19:45,9148.92
2026-01-08,20:00,9123.08
2026-01-08,20:15,9018.25
2026-01-08,20:30,8985.38
2026-01-08,20:45,9012.92
2026-01-08,21:00,8943.29
2026-01-08,21:15,8803.55
2026-01-08,21:30,8777.56
2026-01-08,21:45,8682.93
2026-01-08,22:00,8648.81
2026-01-08,22:15,8739.36
2026-01-08,22:30,8860
2026-01-08,22:45,8722.76
2026-01-08,23:00,8511.31
2026-01-08,23:15,8362.58
2026-01-08,23:30,8260.52
2026-01-08,23:45,8198.29
2026-01-08,24:00,8238.03
2026-01-09,00:15,8103.35
2026-01-09,00:30,8102.35
2026-01-09,00:45,8083.87
2026-01-09,01:00,8071.23
2026-01-09,01:15,8007.38
2026-01-09,01:30,8045.22
2026-01-09,01:45,8005.35
2026-01-09,02:00,7998.23
2026-01-09,02:15,7959.19
2026-01-09,02:30,7897.24
2026-01-09,02:45,7854.84
2026-01-09,03:00,7768.19
2026-01-09,03:15,7819.96
2026-01-09,03:30,7804.13
2026-01-09,03:45,7831.56
2026-01-09,04:00,7810.56
2026-01-09,04:15,7817.62
2026-01-09,04:30,7773.04
2026-01-09,04:45,7763.71
2026-01-09,05:00,7757.79
2026-01-09,05:15,7734.30
2026-01-09,05:30,7839.55
2026-01-09,05:45,7992.55
2026-01-09,06:00,7999.55
2026-01-09,06:15,8099.24
2026-01-09,06:30,8113.77
2026-01-09,06:45,8078.73
2026-01-09,07:00,8137.35
2026-01-09,07:15,7850.42
2026-01-09,07:30,7892.79
2026-01-09,07:45,7831.83
2026-01-09,08:00,7804.52
2026-01-09,08:15,7943.47
2026-01-09,08:30,7901.12
2026-01-09,08:45,7895.17
2026-01-09,09:00,7869.60
2026-01-09,09:15,8116.58
2026-01-09,09:30,8208.53
2026-01-09,09:45,8386.23
2026-01-09,10:00,8750.22
2026-01-09,10:15,8955.79
2026-01-09,10:30,9046.06
2026-01-09,10:45,8976.58
2026-01-09,11:00,8960.51
2026-01-09,11:15,8996.46
2026-01-09,11:30,8905.32
2026-01-09,11:45,8898.59
2026-01-09,12:00,8886.70
2026-01-09,12:15,8890.65
2026-01-09,12:30,8868.96
2026-01-09,12:45,8807.67
2026-01-09,13:00,8780.71
2026-01-09,13:15,8618.30
2026-01-09,13:30,8621.39
2026-01-09,13:45,8608.68
2026-01-09,14:00,8559.15
2026-01-09,14:15,8564.19
2026-01-09,14:30,8517.17
2026-01-09,14:45,8563.54
2026-01-09,15:00,8582.19
2026-01-09,15:15,8616.69
2026-01-09,15:30,8726.84
2026-01-09,15:45,8719.09
2026-01-09,16:00,8731.04
2026-01-09,16:15,8645.52
2026-01-09,16:30,8627.31
2026-01-09,16:45,8555.04
2026-01-09,17:00,8465.55
2026-01-09,17:15,8474.12
2026-01-09,17:30,8379.35
2026-01-09,17:45,8365.25
2026-01-09,18:00,8342.57
2026-01-09,18:15,8277.12
2026-01-09,18:30,8300.99
2026-01-09,18:45,8313.67
2026-01-09,19:00,8316.66
2026-01-09,19:15,8376.42
2026-01-09,19:30,8348.32
2026-01-09,19:45,8384.25
2026-01-09,20:00,8356.97
2026-01-09,20:15,8359.61
2026-01-09,20:30,8317.11
2026-01-09,20:45,8270.02
2026-01-09,21:00,8187.41
2026-01-09,21:15,8137.44
2026-01-09,21:30,8123
2026-01-09,21:45,8074.83
2026-01-09,22:00,8045.04
2026-01-09,22:15,8180.23
2026-01-09,22:30,8065.78
2026-01-09,22:45,7924.91
2026-01-09,23:00,7802.37
2026-01-09,23:15,7674.18
2026-01-09,23:30,7582.48
2026-01-09,23:45,7562.77
2026-01-09,24:00,7538.69
2026-01-10,00:15,7439.83
2026-01-10,00:30,7316.62
2026-01-10,00:45,7303.29
